fundo_cnpj,data,pl,valor_cota,captacao_dia,resgate_dia,cotistas
03919474000120,2025-07-18,109548.75,105.86173606,0.0,0.0,3
03919474000120,2025-07-21,109587.65,105.89932682,0.0,0.0,3
03919474000120,2025-07-22,109626.59,105.93695624,0.0,0.0,3
03919474000120,2025-07-23,109665.55,105.97460499,0.0,0.0,3
03919474000120,2025-07-24,109704.55,106.01229239,0.0,0.0,3
03919474000120,2025-07-25,109743.57,106.04999912,0.0,0.0,3
03919474000120,2025-07-28,109782.62,106.08773484,0.0,0.0,3
03919474000120,2025-07-29,109821.71,106.12550921,0.0,0.0,3
03919474000120,2025-07-30,109860.82,106.16330291,0.0,0.0,3
03919474000120,2025-07-31,109899.97,106.20113526,0.0,0.0,3
03919474000120,2025-08-01,109939.14,106.23898694,0.0,0.0,3
03919474000120,2025-08-04,109978.35,106.27687728,0.0,0.0,3
03919474000120,2025-08-05,110019.34,106.3164877,0.0,0.0,3
03919474000120,2025-08-06,110059.49,106.3552864,0.0,0.0,3
04894428000186,2025-01-02,596805.78,446.86267255,0.0,0.0,21
04894428000186,2025-01-03,597024.15,447.02617868,0.0,0.0,21
04894428000186,2025-01-06,597242.62,447.18975968,0.0,0.0,21
04894428000186,2025-01-07,597461.18,447.35340808,0.0,0.0,21
04894428000186,2025-01-08,597679.84,447.51713134,0.0,0.0,21
04894428000186,2025-01-09,597898.59,447.680922,0.0,0.0,21
04894428000186,2025-01-10,598117.44,447.84478753,0.0,0.0,21
04894428000186,2025-01-13,598336.39,448.00872793,0.0,0.0,21
04894428000186,2025-01-14,598555.43,448.17273573,0.0,0.0,21
04894428000186,2025-01-15,598774.57,448.3368184,0.0,0.0,21
04894428000186,2025-01-16,598993.8,448.50096846,0.0,0.0,21
04894428000186,2025-01-17,599213.13,448.66519339,0.0,0.0,21
04894428000186,2025-01-20,599432.55,448.82948571,0.0,0.0,21
04894428000186,2025-01-21,599652.07,448.99385291,0.0,0.0,21
04894428000186,2025-01-22,599871.69,449.15829499,0.0,0.0,21
04894428000186,2025-01-23,600091.4,449.32280445,0.0,0.0,21
04894428000186,2025-01-24,600311.2,449.4873813,0.0,0.0,21
04894428000186,2025-01-27,600531.11,449.65204051,0.0,0.0,21
04894428000186,2025-01-28,600751.11,449.81676711,0.0,0.0,21
04894428000186,2025-01-29,600971.21,449.98156859,0.0,0.0,21
04894428000186,2025-01-30,601191.4,450.14643746,0.0,0.0,21
04894428000186,2025-01-31,601411.69,450.3113812,0.0,0.0,21
04894428000186,2025-02-03,601632.07,450.47639233,0.0,0.0,21
04894428000186,2025-02-04,601852.55,450.64147833,0.0,0.0,21
04894428000186,2025-02-05,602073.13,450.80663921,0.0,0.0,21
04894428000186,2025-02-06,602293.81,450.97187497,0.0,0.0,21
04894428000186,2025-02-07,602514.57,451.13717063,0.0,0.0,21
04894428000186,2025-02-10,602735.44,451.30254865,0.0,0.0,21
04894428000186,2025-02-11,603060.53,451.54596215,0.0,0.0,21
04894428000186,2025-02-12,603333.72,451.75051515,0.0,0.0,21
